,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
강남구,삼익악기빌딩,서울특별시 강남구 학동로 171 (논현동 삼익악기 빌딩),주차장,5452,127.029549,37.514047
강남구,현대아파트 201동,서울특별시 강남구 청담동 23,주차장,828,127.041358,37.521839
강남구,동부금융센터,서울특별시 강남구 테헤란로 432 (대치동 동부금융센터),공공시설,1382,127.054762,37.505774
강남구,아세아타워,서울특별시 강남구 논현로 430 (역삼동 아세아타워빌딩),주차장,48150,127.038355,37.499002
강남구,대치평생학습관,서울특별시 강남구 영동대로57길 7 (대치동 대치평생학습관),주차장,825,127.066976,37.499955
강남구,세곡문화센터,서울특별시 강남구 밤고개로 286 (세곡동 기상관측소),공공시설,399,127.106912,37.46905
강남구,우성캐릭터199,서울특별시 강남구 언주로 118 (도곡동 우성캐릭터199),주차장,2742,127.051863,37.486901
강남구,동익아파트지하주차장,서울특별시 강남구 광평로39길 3 (수서동 동익아파트),주차장,4102,127.097261,37.485766
강남구,푸른마을아파트,서울특별시 강남구 일원로14길 25 (일원동 푸른마을아파트),주차장,2970,127.081101,37.484798
중랑구,공감대아파트,서울특별시 중랑구 공릉로 32,주차장,4912,127.078347,37.613631
중랑구,동성타워아파트,서울특별시 중랑구 봉화산로 221,주차장,5197,127.097218,37.608013
중랑구,우도빌딩,서울특별시 중랑구 망우로 214,주차장,1834,127.076656,37.593748
중랑구,예성그린캐슬아파트,서울특별시 중랑구 용마산로112가길 34,주차장,4085,127.101899,37.597145
중랑구,면목두산아파트2차,서울특별시 중랑구 면목로37길 58,주차장,8791,127.083603,37.580775
종로구,평창동주민센터 지하1층,서울특별시 종로구 평창문화로 65 평창동 주민센터 (평창동),공공시설,1797,126.968108,37.606252
종로구,신교공영주차장,서울특별시 종로구 자하문로 89 (신교동 종로장애복지관),주차장,5834,126.969636,37.58881
종로구,세종빌딩지하층,서울특별시 종로구 세종대로23길 54 (당주동 세종빌딩),주차장,8637,126.97328,37.571762
종로구,현대건설지하2층,서울특별시 종로구 율곡로 75 (계동 현대건설빌딩),주차장,5330,126.987496,37.578115
종로구,정림건축,서울특별시 종로구 율곡로 214 (연건동 정림빌딩),주차장,405,127.002637,37.575811
종로구,명륜교회,서울특별시 종로구 혜화로3길 6 (명륜1가 명륜교회),주차장,1938,126.999716,37.586288
종로구,독립문초등학교 지하주차장,서울특별시 종로구 통일로12길 23 (무악동 독립문초등학교),주차장,495,126.960225,37.574143
종로구,석탄회관빌딩,서울특별시 종로구 종로5길 58 (수송동 석탄회관빌딩),공공시설,6487,126.980323,37.572871
종로구,종묘지하주차장,서울특별시 종로구 종로4가 32번지 19호,주차장,55090,126.996418,37.571116
종로구,진형중고등학교,서울특별시 종로구 종로 386 (숭인동 진형빌딩),지하주차장,1277,127.020328,37.574036
